Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,year,Day_Perc_Change,Trend,upper_bb,lower_bb,middle_bb
2017-05-15,LALPATHLAB,EQ,891.15,895.0,914.15,881.0,912.0,900.6,889.35,257655,229145315.95,15451,174775,67.83,5,2017,0.0,Slight or No change,,,
2017-05-16,LALPATHLAB,EQ,900.6,910.0,925.0,895.05,909.4,910.95,914.57,104896,95934298.2,13001,75813,72.27,5,2017,1.1492338441039252,Positive,,,
2017-05-17,LALPATHLAB,EQ,910.95,913.0,925.0,909.0,912.05,911.7,917.19,72460,66459596.4,2802,53829,74.29,5,2017,0.08233163181294856,Slight or No change,,,
2017-05-18,LALPATHLAB,EQ,911.7,908.0,919.35,903.05,906.0,909.75,914.12,37707,34468891.25,2731,24836,65.87,5,2017,-0.21388614675881268,Slight or No change,,,
2017-05-19,LALPATHLAB,EQ,909.75,917.0,917.0,905.8,910.0,910.25,910.61,81082,73833750.25,4430,69926,86.24,5,2017,0.054960153888439216,Slight or No change,,,
2017-05-22,LALPATHLAB,EQ,910.25,909.0,914.0,905.0,907.4,909.85,909.89,150085,136561314.4,3350,136057,90.65,5,2017,-0.04394397143641093,Slight or No change,,,
2017-05-23,LALPATHLAB,EQ,909.85,913.95,913.95,875.0,890.0,886.9,899.58,201776,181513918.55,7913,167269,82.9,5,2017,-2.522393801176026,Negative,,,
2017-05-24,LALPATHLAB,EQ,886.9,886.9,903.05,883.8,893.0,894.7,895.74,84241,75457719.6,4014,67593,80.24,5,2017,0.8794678092231445,Slight Positive,,,
2017-05-25,LALPATHLAB,EQ,894.7,897.9,901.0,894.25,898.2,898.25,899.8,241232,217059869.7,4535,219442,90.97,5,2017,0.3967810439253317,Slight or No change,,,
2017-05-26,LALPATHLAB,EQ,898.25,903.45,907.9,880.0,888.0,893.7,898.82,75168,67562251.0,7428,57741,76.82,5,2017,-0.5065404954077368,Slight Negative,,,
2017-05-29,LALPATHLAB,EQ,893.7,878.0,905.0,878.0,904.0,900.25,899.96,49918,44924155.85,3191,37124,74.37,5,2017,0.7329081347208222,Slight Positive,,,
2017-05-30,LALPATHLAB,EQ,900.25,904.8,916.3,893.0,899.0,901.2,902.58,32083,28957386.7,2375,23103,72.01,5,2017,0.10552624271036316,Slight or No change,,,
2017-05-31,LALPATHLAB,EQ,901.2,903.55,915.0,895.0,895.0,904.15,904.82,274059,247974912.7,7203,250423,91.38,5,2017,0.327341322680863,Slight or No change,,,
2017-06-01,LALPATHLAB,EQ,904.15,916.0,919.8,897.1,898.25,900.6,904.02,108277,97884152.45,4930,71398,65.94,6,2017,-0.3926339656030509,Slight or No change,917.4232301239778,887.2696270188795,902.3464285714286
2017-06-02,LALPATHLAB,EQ,900.6,907.9,912.0,886.95,907.0,903.75,898.44,103386,92885800.85,11005,61235,59.23,6,2017,0.3497668221185801,Slight or No change,917.6299663636433,887.5128907792138,902.5714285714286
2017-06-05,LALPATHLAB,EQ,903.75,910.4,911.55,897.0,906.55,904.5,905.14,95555,86490438.0,5444,77489,81.09,6,2017,0.08298755186721962,Slight or No change,916.4421310159091,887.7792975555194,902.1107142857143
2017-06-06,LALPATHLAB,EQ,904.5,917.0,917.0,899.8,905.5,904.65,904.38,37640,34040841.05,4214,26259,69.76,6,2017,0.01658374792703476,Slight or No change,914.9483374261263,888.2659482881593,901.6071428571428
2017-06-07,LALPATHLAB,EQ,904.65,901.95,916.8,898.45,915.0,914.9,912.86,38911,35520410.9,2980,26762,68.78,6,2017,1.1330348753661568,Positive,916.5136355300942,887.4363644699054,901.9749999999998
2017-06-08,LALPATHLAB,EQ,914.9,915.0,915.9,901.0,901.0,906.5,908.32,80868,73454304.85,4803,67631,83.63,6,2017,-0.9181331293037442,Slight Negative,915.7176255887844,887.696660125501,901.7071428571427
2017-06-09,LALPATHLAB,EQ,906.5,910.0,913.55,891.0,898.55,898.95,898.91,77867,69995419.85,3301,55713,71.55,6,2017,-0.8328736900165445,Slight Negative,914.1807244777767,887.6764183793659,900.9285714285713
2017-06-12,LALPATHLAB,EQ,898.95,900.0,904.7,890.0,893.1,895.25,896.91,37067,33245860.85,4250,21632,58.36,6,2017,-0.4115913009622441,Slight or No change,912.6360305552636,890.4139694447362,901.5249999999999
2017-06-13,LALPATHLAB,EQ,895.25,902.95,912.25,895.1,905.2,907.15,909.2,40144,36498777.15,5721,26407,65.78,6,2017,1.3292376431164543,Positive,913.159118359396,891.669453069175,902.4142857142855
2017-06-14,LALPATHLAB,EQ,907.15,908.0,912.4,897.0,902.5,899.35,902.42,39139,35319823.5,1713,29615,75.67,6,2017,-0.8598357493247999,Slight Negative,913.1219794847178,891.8637348009962,902.492857142857
2017-06-15,LALPATHLAB,EQ,899.35,899.0,903.65,874.0,877.0,879.2,885.85,85093,75379958.0,4265,66135,77.72,6,2017,-2.240507032857064,Negative,917.3161784832145,885.5981072310709,901.4571428571427
2017-06-16,LALPATHLAB,EQ,879.2,880.0,890.0,872.0,884.0,885.35,881.64,35209,31041501.5,3187,18101,51.41,6,2017,0.6994995450409379,Slight Positive,918.448576762662,882.337137523052,900.392857142857
2017-06-19,LALPATHLAB,EQ,885.35,892.0,892.0,860.0,860.6,862.05,868.64,54543,47378334.0,4985,35404,64.91,6,2017,-2.631727565369635,Negative,924.8816588473265,870.3111982955301,897.5964285714283
2017-06-20,LALPATHLAB,EQ,862.05,860.0,868.75,845.0,848.0,852.15,855.15,75476,64543197.7,4853,59972,79.46,6,2017,-1.148425265355835,Negative,930.0393127417718,857.7249729725135,893.8821428571426
2017-06-21,LALPATHLAB,EQ,852.15,850.1,864.75,840.0,857.0,858.25,857.18,58735,50346653.0,8843,37199,63.33,6,2017,0.7158364137769269,Slight Positive,931.4120222400015,850.3022634742836,890.8571428571425
2017-06-22,LALPATHLAB,EQ,858.25,859.0,863.85,838.0,841.4,845.9,844.96,90160,76181998.7,5736,51504,57.13,6,2017,-1.4389746577337603,Negative,933.0055616281325,840.4444383718669,886.7249999999997
